id_venta,fecha,id_cliente,id_producto,sucursal,cantidad,precio_unitario,metodo_pago,nombre_producto,categoria,precio_lista,costo,nombre,ciudad,edad,segmento,fecha_registro,importe,mes
V0042,2024-03-18,C0156,P100,LIMA,8.0,2312.0,TARJETA,PeruPC CELULAR Lite 100,CELULAR,926.0,546.03,Giancarlo Vásquez,SIN REGISTRO,82.0,REGULAR,2024-10-04,18496.0,2024-03
V0043,2024-01-22,C0168,P058,TRUJILLO,5.0,1279.0,TARJETA,AndinaTech LAPTOP Air 058,LAPTOP,3652.0,2127.63,Rosa Rojas,SIN REGISTRO,41.0,REGULAR,2023-12-21,6395.0,2024-01
V0044,2024-03-06,C0128,P079,TRUJILLO,2.0,1493.0,TARJETA,PeruPC AUDIO Plus 079,AUDIO,617.0,374.7,Ximena Rojas,CUSCO,23.0,REGULAR,2024-11-18,2986.0,2024-03
V0045,2024-01-24,C0084,P060,TRUJILLO,4.0,1774.0,TARJETA,TechNova ACCESORIO Lite 060,ACCESORIO,41.0,28.93,Pedro Salazar,CUSCO,27.0,REGULAR,2024-07-31,7096.0,2024-01
V0046,2024-05-27,C0274,P152,TRUJILLO,7.0,638.0,EFECTIVO,MaxDigital ACCESORIO Basic 152,ACCESORIO,91.0,59.64,Cliente 1957,AREQUIPA,41.0,REGULAR,2024-12-26,4466.0,2024-05
V0047,2024-01-09,C0085,P260,LIMA,8.0,726.0,EFECTIVO,MaxDigital AUDIO Plus 260,AUDIO,292.0,201.63,Rosa Rodríguez,AREQUIPA,28.0,REGULAR,2024-12-18,5808.0,2024-01
V0048,2024-04-23,C0053,P114,AREQUIPA,4.0,360.0,TARJETA,TechNova AUDIO Lite 114,AUDIO,899.0,617.72,Gabriela Gutiérrez,AREQUIPA,38.0,VIP,2024-11-03,1440.0,2024-04
V0049,2024-02-08,C0126,P133,AREQUIPA,10.0,1738.0,TRANSFERENCIA,TechNova TABLET Basic 133,TABLET,676.0,415.39,Daniela Castro,AREQUIPA,35.0,VIP,2024-01-15,17380.0,2024-02
V0050,2024-05-16,C0176,P175,LIMA,5.0,193.0,EFECTIVO,TechNova LAPTOP Air 175,LAPTOP,2127.0,1199.61,Rocío Chávez,PIURA,33.0,REGULAR,2023-10-25,965.0,2024-05
V0051,2024-02-02,C0262,P294,LIMA,6.0,547.0,TARJETA,PeruPC LAPTOP Plus 294,LAPTOP,3749.0,2224.64,Óscar Castillo,SIN REGISTRO,18.0,REGULAR,2023-04-24,3282.0,2024-02
V0052,2024-01-25,C0192,P243,LIMA,8.0,1256.0,TRANSFERENCIA,TechNova AUDIO Basic 243,AUDIO,630.0,421.87,Jorge Vargas,PIURA,69.0,REGULAR,2023-10-16,10048.0,2024-01
V0055,2024-04-27,C0220,P195,LIMA,6.0,78.0,TARJETA,TechNova ACCESORIO Basic 195,ACCESORIO,238.0,160.51,Karla Díaz,CHICLAYO,56.0,NUEVO,2024-07-19,468.0,2024-04
V0057,2024-02-22,C0111,P247,LIMA,8.0,2729.0,TARJETA,PeruPC ACCESORIO Plus 247,ACCESORIO,126.0,77.73,Juan Vargas,PIURA,59.0,REGULAR,2023-12-22,21832.0,2024-02
V0058,2024-02-09,C0145,P173,TRUJILLO,9.0,2444.0,EFECTIVO,MaxDigital CELULAR Basic 173,CELULAR,675.0,409.69,Giancarlo Núñez,PIURA,70.0,VIP,2024-04-24,21996.0,2024-02
V0059,2024-01-11,C0163,P116,CUSCO,4.0,1207.0,TARJETA,TechNova AUDIO Lite 116,AUDIO,589.0,365.9,Pedro García,CUSCO,77.0,REGULAR,2024-02-21,4828.0,2024-01
V0061,2024-01-01,C0295,P131,AREQUIPA,8.0,2467.0,TRANSFERENCIA,MaxDigital CELULAR Pro 131,CELULAR,528.0,317.86,Cliente 4511,PIURA,86.0,REGULAR,2024-06-03,19736.0,2024-01
V0062,2024-06-30,C0169,P079,LIMA,2.0,369.0,EFECTIVO,PeruPC AUDIO Plus 079,AUDIO,617.0,374.7,Jorge Castillo,AREQUIPA,63.0,NUEVO,2024-07-06,738.0,2024-06
V0063,2024-06-22,C0169,P224,LIMA,4.0,388.0,TRANSFERENCIA,AndinaTech CELULAR Lite 224,CELULAR,3368.0,1971.78,Jorge Castillo,AREQUIPA,63.0,NUEVO,2024-07-06,1552.0,2024-06
V0065,2024-03-06,C0201,P179,TRUJILLO,4.0,1144.0,EFECTIVO,AndinaTech TABLET Pro 179,TABLET,930.0,573.7,Óscar Chávez,CUSCO,52.0,REGULAR,2023-05-19,4576.0,2024-03
V0066,2024-03-12,C0022,P090,CUSCO,9.0,2119.0,EFECTIVO,AndinaTech MONITOR Ultra 090,MONITOR,859.0,555.91,Daniela Rodríguez,TRUJILLO,73.0,REGULAR,2023-12-29,19071.0,2024-03
V0067,2024-01-13,C0027,P277,AREQUIPA,4.0,1676.0,TARJETA,AndinaTech CELULAR Ultra 277,CELULAR,837.0,480.21,Alejandra Chávez,CHICLAYO,43.0,NUEVO,2024-03-17,6704.0,2024-01
V0068,2024-05-30,C0186,P070,AREQUIPA,7.0,2050.0,EFECTIVO,PeruPC LAPTOP Air 070,LAPTOP,2590.0,1659.76,Alejandra Castro,PIURA,61.0,REGULAR,2024-04-11,14350.0,2024-05
V0069,2024-06-30,C0280,P191,AREQUIPA,1.0,1458.0,TARJETA,PeruPC AUDIO Air 191,AUDIO,601.0,425.35,Cliente 2108,AREQUIPA,47.0,REGULAR,2023-10-02,1458.0,2024-06
V0070,2024-04-13,C0109,P142,CUSCO,9.0,681.0,TARJETA,PeruPC AUDIO Ultra 142,AUDIO,568.0,329.64,Raúl Rodríguez,CUSCO,58.0,NUEVO,2024-11-26,6129.0,2024-04
V0071,2024-03-27,C0320,P071,TRUJILLO,9.0,1591.0,TARJETA,TechNova AUDIO Basic 071,AUDIO,524.0,328.89,Cliente 1078,AREQUIPA,28.0,NUEVO,2023-07-10,14319.0,2024-03
V0072,2024-04-20,C0153,P208,LIMA,4.0,2342.0,EFECTIVO,MaxDigital CELULAR Basic 208,SIN CATEGORIA,3255.0,1972.9,Ximena Gutiérrez,PIURA,38.0,REGULAR,2024-05-24,9368.0,2024-04
V0073,2024-05-15,C0311,P068,CUSCO,6.0,2432.0,TARJETA,TechNova LAPTOP Max 068,LAPTOP,2980.0,1813.42,Cliente 3648,LIMA,25.0,REGULAR,2024-11-11,14592.0,2024-05
V0074,2024-02-20,C0006,P213,TRUJILLO,3.0,2790.0,TRANSFERENCIA,AndinaTech ACCESORIO Max 213,ACCESORIO,138.0,84.75,Luis Castillo,LIMA,87.0,VIP,2023-06-15,8370.0,2024-02
V0075,2024-03-18,C0011,P182,AREQUIPA,8.0,847.0,SIN REGISTRO,MaxDigital CELULAR Lite 182,CELULAR,645.0,426.07,Sergio Vásquez,CUSCO,29.0,NUEVO,2024-03-16,6776.0,2024-03
V0078,2024-02-26,C0017,P283,CUSCO,1.0,997.0,TRANSFERENCIA,PeruPC ACCESORIO Max 283,ACCESORIO,152.0,91.35,Karla Vásquez,CUSCO,34.0,REGULAR,2024-01-12,997.0,2024-02
V0079,2024-05-19,C0060,P193,LIMA,1.0,578.0,TRANSFERENCIA,MaxDigital TABLET Plus 193,TABLET,824.0,514.09,Raúl Vargas,AREQUIPA,40.0,NUEVO,2024-02-05,578.0,2024-05
V0080,2024-05-23,C0011,P212,AREQUIPA,6.0,714.0,TRANSFERENCIA,MaxDigital CELULAR Lite 212,CELULAR,2688.0,1844.4,Sergio Vásquez,CUSCO,29.0,NUEVO,2024-03-16,4284.0,2024-05
V0081,2024-05-26,C0289,P167,TRUJILLO,2.0,2780.0,EFECTIVO,TechNova CELULAR Plus 167,CELULAR,2160.0,1432.32,Cliente 5119,SIN REGISTRO,88.0,NUEVO,2024-11-04,5560.0,2024-05
V0082,2024-03-14,C0260,P193,CUSCO,7.0,2826.0,TARJETA,MaxDigital TABLET Plus 193,TABLET,824.0,514.09,Gabriela Quispe,PIURA,51.0,NUEVO,2023-06-07,19782.0,2024-03
V0083,2024-03-03,C0235,P088,AREQUIPA,6.0,2533.0,TARJETA,TechNova ACCESORIO Neo 088,ACCESORIO,39.0,21.84,Sofía Aguilar,TRUJILLO,82.0,REGULAR,2024-06-04,15198.0,2024-03
V0084,2024-02-13,C0125,P151,AREQUIPA,5.0,1537.0,TRANSFERENCIA,AndinaTech CELULAR Lite 151,CELULAR,3036.0,2045.18,Alberto Castro,AREQUIPA,70.0,REGULAR,2023-05-25,7685.0,2024-02
V0085,2024-02-20,C0301,P005,AREQUIPA,10.0,2761.0,TRANSFERENCIA,AndinaTech AUDIO Ultra 005,AUDIO,497.0,324.89,Cliente 5404,CHICLAYO,53.0,VIP,2024-08-01,27610.0,2024-02
V0086,2024-04-08,C0190,P092,CUSCO,9.0,1755.0,EFECTIVO,AndinaTech AUDIO Neo 092,AUDIO,323.0,212.71,Alejandra Castillo,TRUJILLO,61.0,NUEVO,2023-08-24,15795.0,2024-04
V0087,2024-01-16,C0157,P298,AREQUIPA,10.0,1811.0,TRANSFERENCIA,TechNova MONITOR Basic 298,MONITOR,977.0,614.27,Valeria Ramos,CHICLAYO,69.0,REGULAR,2023-03-21,18110.0,2024-01
V0088,2024-02-12,C0270,P086,CUSCO,1.0,981.0,EFECTIVO,AndinaTech TABLET Basic 086,TABLET,408.0,248.48,Sergio Espinoza,PIURA,85.0,REGULAR,2024-05-11,981.0,2024-02
V0089,2024-05-16,C0006,P142,TRUJILLO,1.0,2833.0,EFECTIVO,PeruPC AUDIO Ultra 142,AUDIO,568.0,329.64,Luis Castillo,LIMA,87.0,VIP,2023-06-15,2833.0,2024-05
V0090,2024-06-08,C0305,P166,TRUJILLO,7.0,602.0,TRANSFERENCIA,PeruPC ACCESORIO Plus 166,ACCESORIO,218.0,126.77,Cliente 8965,PIURA,84.0,VIP,2023-06-30,4214.0,2024-06
V0091,2024-02-14,C0103,P192,AREQUIPA,6.0,1666.0,EFECTIVO,TechNova CELULAR Basic 192,CELULAR,2605.0,1519.6,Ximena Salazar,CHICLAYO,28.0,REGULAR,2024-06-07,9996.0,2024-02
V0092,2024-01-18,C0123,P005,TRUJILLO,8.0,2451.0,EFECTIVO,AndinaTech AUDIO Ultra 005,AUDIO,497.0,324.89,Milagros Flores,PIURA,23.0,VIP,2023-04-27,19608.0,2024-01
V0093,2024-04-27,C0179,P101,AREQUIPA,8.0,2925.0,EFECTIVO,MaxDigital MONITOR Pro 101,MONITOR,1175.0,774.65,Miguel Paredes,CUSCO,41.0,REGULAR,2023-06-22,23400.0,2024-04
V0094,2024-01-22,C0115,P272,AREQUIPA,7.0,1740.0,TARJETA,AndinaTech AUDIO Neo 272,AUDIO,822.0,584.71,Gabriela Chávez,PIURA,22.0,REGULAR,2024-09-14,12180.0,2024-01
V0095,2024-02-15,C0230,P138,AREQUIPA,5.0,2892.0,TARJETA,AndinaTech TABLET Neo 138,TABLET,621.0,394.6,Renzo Ramos,CHICLAYO,25.0,REGULAR,2023-08-10,14460.0,2024-02
V0096,2024-05-12,C0146,P236,CUSCO,9.0,2452.0,TARJETA,PeruPC MONITOR Neo 236,MONITOR,840.0,530.58,Camila Rodríguez,CHICLAYO,71.0,VIP,2024-06-02,22068.0,2024-05
V0098,2024-05-30,C0219,P027,LIMA,6.0,2487.0,EFECTIVO,PeruPC CELULAR Neo 027,CELULAR,2485.0,1537.99,Alejandra Medina,CUSCO,19.0,VIP,2024-11-02,14922.0,2024-05
V0099,2024-05-06,C0205,P080,LIMA,10.0,759.0,TARJETA,PeruPC ACCESORIO Basic 080,ACCESORIO,55.0,37.99,Walter Chávez,SIN REGISTRO,52.0,NUEVO,2024-09-12,7590.0,2024-05
V0100,2024-03-01,C0232,P243,LIMA,6.0,547.0,TRANSFERENCIA,TechNova AUDIO Basic 243,AUDIO,630.0,421.87,María Rojas,TRUJILLO,52.0,REGULAR,2024-02-14,3282.0,2024-03
V0101,2024-01-28,C0112,P179,LIMA,2.0,982.0,EFECTIVO,AndinaTech TABLET Pro 179,TABLET,930.0,573.7,Renzo Paredes,AREQUIPA,39.0,NUEVO,2023-10-01,1964.0,2024-01
V0102,2024-03-31,C0201,P010,LIMA,1.0,387.0,EFECTIVO,TechNova LAPTOP Pro 010,LAPTOP,2954.0,1918.52,Óscar Chávez,CUSCO,52.0,REGULAR,2023-05-19,387.0,2024-03
V0103,2024-05-10,C0115,P235,CUSCO,8.0,2158.0,EFECTIVO,AndinaTech TABLET Lite 235,TABLET,741.0,455.41,Gabriela Chávez,PIURA,22.0,REGULAR,2024-09-14,17264.0,2024-05
V0104,2024-01-10,C0225,P283,TRUJILLO,3.0,697.0,EFECTIVO,PeruPC ACCESORIO Max 283,ACCESORIO,152.0,91.35,Mónica Quispe,CUSCO,75.0,REGULAR,2023-11-05,2091.0,2024-01
V0105,2024-01-16,C0298,P212,CUSCO,4.0,2259.0,EFECTIVO,MaxDigital CELULAR Lite 212,CELULAR,2688.0,1844.4,Cliente 9717,CUSCO,35.0,NUEVO,2024-12-13,9036.0,2024-01
V0106,2024-05-12,C0171,P125,LIMA,6.0,1551.0,EFECTIVO,PeruPC TABLET Ultra 125,TABLET,1011.0,562.74,Ana Flores,CHICLAYO,55.0,VIP,2023-04-12,9306.0,2024-05
V0108,2024-05-23,C0236,P141,AREQUIPA,2.0,376.0,TRANSFERENCIA,TechNova CELULAR Air 141,CELULAR,3345.0,2112.7,Mónica Castro,TRUJILLO,37.0,NUEVO,2024-05-14,752.0,2024-05
V0109,2024-02-18,C0101,P251,CUSCO,9.0,2333.0,EFECTIVO,PeruPC LAPTOP Pro 251,LAPTOP,3550.0,2492.72,Pedro Ramos,CHICLAYO,61.0,REGULAR,2024-11-20,20997.0,2024-02
V0111,2024-02-27,C0061,P097,CUSCO,1.0,2316.0,EFECTIVO,AndinaTech AUDIO Air 097,AUDIO,86.0,54.15,Óscar Vargas,CUSCO,54.0,VIP,2024-02-13,2316.0,2024-02
V0112,2024-03-12,C0050,P142,TRUJILLO,9.0,1140.0,TARJETA,PeruPC AUDIO Ultra 142,AUDIO,568.0,329.64,Fiorella Díaz,CHICLAYO,42.0,REGULAR,2024-01-12,10260.0,2024-03
V0114,2024-03-07,C0154,P202,LIMA,3.0,2024.0,TRANSFERENCIA,AndinaTech CELULAR Max 202,CELULAR,1200.0,827.48,Lucía Rojas,TRUJILLO,37.0,NUEVO,2024-10-06,6072.0,2024-03
V0115,2024-03-26,C0315,P132,LIMA,1.0,1829.0,TARJETA,TechNova TABLET Neo 132,TABLET,760.0,469.69,Cliente 9936,CUSCO,36.0,REGULAR,2023-01-20,1829.0,2024-03
V0116,2024-03-17,C0087,P224,CUSCO,4.0,842.0,EFECTIVO,AndinaTech CELULAR Lite 224,CELULAR,3368.0,1971.78,Daniela Quispe,SIN REGISTRO,28.0,REGULAR,2023-12-15,3368.0,2024-03
V0117,2024-05-10,C0019,P225,LIMA,7.0,2614.0,EFECTIVO,MaxDigital LAPTOP Lite 225,LAPTOP,3895.0,2590.84,Hugo Aguilar,LIMA,87.0,REGULAR,2023-09-09,18298.0,2024-05
V0118,2024-04-18,C0209,P143,AREQUIPA,4.0,748.0,EFECTIVO,PeruPC LAPTOP Plus 143,LAPTOP,3714.0,2131.58,Hugo Quispe,TRUJILLO,55.0,REGULAR,2024-05-05,2992.0,2024-04
V0119,2024-05-16,C0098,P080,TRUJILLO,6.0,2699.0,EFECTIVO,PeruPC ACCESORIO Basic 080,ACCESORIO,55.0,37.99,Óscar Gutiérrez,AREQUIPA,48.0,REGULAR,2024-10-17,16194.0,2024-05
V0120,2024-02-09,C0024,P219,TRUJILLO,7.0,1990.0,EFECTIVO,PeruPC TABLET Neo 219,TABLET,734.0,451.67,Camila Vargas,CUSCO,39.0,NUEVO,2024-12-28,13930.0,2024-02
V0122,2024-01-28,C0238,P093,AREQUIPA,4.0,2667.0,EFECTIVO,TechNova ACCESORIO Neo 093,ACCESORIO,222.0,136.72,Ana García,LIMA,58.0,REGULAR,2023-08-12,10668.0,2024-01
V0123,2024-01-14,C0297,P252,CUSCO,8.0,306.0,TARJETA,PeruPC TABLET Basic 252,TABLET,909.0,591.78,Cliente 1359,AREQUIPA,79.0,REGULAR,2023-12-25,2448.0,2024-01
V0124,2024-06-27,C0174,P108,TRUJILLO,3.0,2486.0,EFECTIVO,MaxDigital TABLET Basic 108,TABLET,1016.0,577.83,Renzo García,TRUJILLO,46.0,VIP,2024-12-06,7458.0,2024-06
V0125,2024-03-01,C0103,P088,TRUJILLO,2.0,2005.0,TARJETA,TechNova ACCESORIO Neo 088,ACCESORIO,39.0,21.84,Ximena Salazar,CHICLAYO,28.0,REGULAR,2024-06-07,4010.0,2024-03
V0126,2024-02-16,C0226,P189,LIMA,5.0,1049.0,EFECTIVO,MaxDigital CELULAR Neo 189,CELULAR,2245.0,1481.27,Fernando Chávez,TRUJILLO,55.0,NUEVO,2024-07-28,5245.0,2024-02
V0127,2024-06-16,C0271,P293,CUSCO,5.0,2983.0,EFECTIVO,MaxDigital ACCESORIO Basic 293,ACCESORIO,41.0,24.94,Cliente 6637,AREQUIPA,48.0,VIP,2023-04-04,14915.0,2024-06
V0128,2024-01-01,C0218,P029,AREQUIPA,2.0,106.0,EFECTIVO,AndinaTech CELULAR Lite 029,CELULAR,1613.0,915.33,Estefanía Medina,TRUJILLO,31.0,REGULAR,2024-04-12,212.0,2024-01
V0129,2024-01-22,C0027,P147,TRUJILLO,5.0,2930.0,EFECTIVO,AndinaTech MONITOR Pro 147,MONITOR,935.0,610.72,Alejandra Chávez,CHICLAYO,43.0,NUEVO,2024-03-17,14650.0,2024-01
V0130,2024-02-20,C0023,P179,AREQUIPA,10.0,2640.0,TRANSFERENCIA,AndinaTech TABLET Pro 179,TABLET,930.0,573.7,Rosa Salazar,PIURA,54.0,NUEVO,2024-06-06,26400.0,2024-02
V0131,2024-05-16,C0291,P082,LIMA,4.0,392.0,TRANSFERENCIA,AndinaTech ACCESORIO Plus 082,ACCESORIO,109.0,63.3,Cliente 6579,CUSCO,88.0,NUEVO,2024-11-04,1568.0,2024-05
V0132,2024-05-14,C0201,P297,TRUJILLO,4.0,1086.0,EFECTIVO,AndinaTech ACCESORIO Max 297,ACCESORIO,184.0,131.01,Óscar Chávez,CUSCO,52.0,REGULAR,2023-05-19,4344.0,2024-05
V0133,2024-03-28,C0251,P215,LIMA,5.0,123.0,EFECTIVO,AndinaTech CELULAR Neo 215,CELULAR,715.0,402.04,Pedro Flores,PIURA,79.0,NUEVO,2023-04-10,615.0,2024-03
V0136,2024-06-09,C0106,P266,CUSCO,6.0,480.0,TRANSFERENCIA,PeruPC ACCESORIO Neo 266,ACCESORIO,175.0,122.77,Pedro Quispe,TRUJILLO,35.0,REGULAR,2024-05-27,2880.0,2024-06
V0137,2024-01-11,C0068,P001,CUSCO,5.0,2063.0,EFECTIVO,PeruPC AUDIO Basic 001,AUDIO,864.0,512.07,César García,SIN REGISTRO,58.0,REGULAR,2024-11-27,10315.0,2024-01
V0138,2024-04-03,C0230,P268,LIMA,6.0,107.0,TARJETA,AndinaTech CELULAR Pro 268,CELULAR,1554.0,1034.5,Renzo Ramos,CHICLAYO,25.0,REGULAR,2023-08-10,642.0,2024-04
V0139,2024-03-24,C0212,P283,CUSCO,3.0,2827.0,TRANSFERENCIA,PeruPC ACCESORIO Max 283,ACCESORIO,152.0,91.35,Juan Flores,AREQUIPA,18.0,VIP,2024-05-31,8481.0,2024-03
V0140,2024-05-10,C0286,P213,LIMA,4.0,1512.0,TARJETA,AndinaTech ACCESORIO Max 213,ACCESORIO,138.0,84.75,Cliente 6276,CHICLAYO,42.0,NUEVO,2023-05-26,6048.0,2024-05
