id_venta,fecha,sucursal,vendedor,categoria,producto,cantidad,precio_unitario,descuento_pct,metodo_pago,tipo_cliente,edad_cliente,satisfaccion,tiempo_atencion_min,devolucion
V026,2026-02-07,trujillo,V009,Monitores,Monitor AOC,1,606.67,5,Transferencia,VIP,51,4,5,No
V027,2026-08-31,Lima,V002,Accesorios,Mouse Logitech,3,93.51,0,Yape,Nuevo,39,4,18,No
V028,2026-05-14,Cusco,V013,Laptops,Laptop Lenovo,2,2837.6,0,Tarjeta,Nuevo,34,5,15,No
V029,2026-04-24,Lima,V001,Laptops,Laptop HP,2,3114.13,0,Plin,nuevo,68,5,7,No
V030,2026-03-09,Lima,V003,Tablets,Tablet Lenovo,2,1152.12,5,Efectivo,VIP,44,3,6,No
V031,2026-07-24,Cusco,V014,Monitores,Monitor AOC,2,598.87,15,Tarjeta,VIP,70,2,34,No
V032,2026-08-16,Arequipa,V006,Laptops,Laptop HP,1,3068.52,0,Yape,Nuevo,61,2,39,Si
V033,2026-08-17,Trujillo,V009,Tablets,Tablet Lenovo,1,1049.21,10,Yape,Frecuente,25,5,29,No
V034,2026-01-16,Cusco,V012,Tablets,Tablet Samsung,1,1282.35,10,Transferencia,Nuevo,64,4,24,No
V035,2026-03-29,cusco,V014,Accesorios,Parlante JBL,2,240.68,15,Efectivo,Frecuente,53,4,5,No
V036,2026-07-25,Trujillo,V010,Smartphones,Smartphone Xiaomi,1,1221.08,0,Tarjeta,Nuevo,57,2,26,No
V037,2026-03-06,Trujillo,V009,Monitores,Monitor LG,1,714.33,20,Transferencia,Frecuente,44,3,45,No
V038,2026-04-13,Cusco,V013,Monitores,Monitor LG,1,761.7,0,Plin,Nuevo,62,2,38,No
V039,2026-08-27,Lima,V004,Monitores,Monitor ViewSonic,3,701.56,10,Plin,Frecuente,50,4,32,No
V040,2026-08-22,Arequipa,V008,smartphones,Smartphone Xiaomi,2,1230.21,5,Transferencia,Frecuente,46,5,9,No
V041,2026-03-31,Trujillo,V011,Laptops,Laptop HP,1,2991.76,0,Efectivo,Nuevo,52,2,34,Si
V042,2026-04-22,CUSCO,V014,Laptops,Laptop Acer,1,2568.9,10,yape,Frecuente,44,3,180,No
V043,2026-06-08,Arequipa,V008,Monitores,Monitor AOC,1,616.02,10,plin,Frecuente,,2,44,No
V044,2026-06-05,lima,V001,Smartphones,Smartphone Samsung,1,1866.03,5,plin,nuevo,39,3,29,No
V045,2026-04-22,Trujillo,V009,Smartphones,Smartphone Samsung,1,1844.82,10,Efectivo,Frecuente,59,5,7,No
V046,2026-02-25, Lima,V002,Monitores,Monitor LG,1,748.02,5,Plin,Frecuente,28,3,43,No
V047,2026-02-03,Arequipa,V007,Laptops,Laptop Acer,1,2476.68,15,Plin,VIP,55,1,45,No
V048,2026-03-23,Lima,V001,Accesorios,Parlante JBL,2,248.21,10,Tarjeta,Frecuente,24,5,,No
V049,2026-08-05,Cusco,V014,Monitores,Monitor ViewSonic,50,667.65,5,Transferencia,FRECUENTE,48,2,34,No
V050,2026-03-14,Trujillo,V009,Laptops,Laptop Dell,1,3425.94,20,Transferencia,Frecuente,19,4,36,No
V051,2026-02-28,TRUJILLO,V010,Accesorios,Audifonos JBL,3,155.7,5,Transferencia,Nuevo,23,5,20,No
V052,2026-07-18,arequipa,V008,Smartphones,Smartphone Xiaomi,1,1235.15,5,Plin,Frecuente,55,4,28,No
V053,2026-04-23,Trujillo,V010,Smartphones,Smartphone Xiaomi,1,1176.79,5,Yape,Nuevo,66,3,16,No
V054,2026-03-16,Trujillo,V009,Monitores,Monitor AOC,1,603.1,0,Transferencia,Nuevo,,4,8,No
V055,2026-02-06,Cusco,V012,Laptops,Laptop Acer,1,2543.93,10,Efectivo,VIP,48,5,12,No
V056,2026-01-23,Lima,V002,MONITORES,Monitor AOC,1,594.28,15,transferencia,Frecuente,67,2,38,No
V057,2026-03-22,Cusco,V013,Tablets,Tablet Samsung,2,1314.25,5,Efectivo,Nuevo,33,4,16,No
V058,2026-04-19,Cusco,V014,Tablets,Tablet Lenovo,1,1077.04,5,Plin,Nuevo,34,3,45,No
V059,2026-02-24,Cusco,V012,TABLETS,Tablet Samsung,2,1319.19,0,TARJETA,Nuevo,56,4,41,No
V060,2026-05-04,Trujillo,V011,Smartphones,Smartphone Xiaomi,1,1200.06,0,Transferencia,Nuevo,38,2,43,Si
V061,2026-06-26,Lima,V003,Tablets,Tablet Samsung,1,1334.2,20,Yape,Nuevo,58,5,36,No
V062,2026-04-19,Trujillo,V010,laptops,Laptop HP,1,3047.24,5,PLIN,Frecuente,47,4,,No
V063,2026-07-21,Cusco,V014,Laptops,Laptop Acer,1,2590.11,10,Transferencia,Frecuente,66,3,8,No
V064,2026-08-30,Trujillo,V010,Smartphones,Smartphone Samsung,1,1715.2,5,Efectivo,Nuevo,,1,31,No
V065,2026-08-26,Lima,V004,Laptops,Laptop HP,2,3099.5,5,Plin,Frecuente,33,3,34,No
V066,2026-08-28,Arequipa,V005,Accesorios,Mochila para laptop,2,123.48,5,Tarjeta,Nuevo,55,5,42,No
V067,2026-02-12,Cusco,V014,Smartphones,Smartphone Xiaomi,2,1179.89,15,Plin,VIP,62,4,20,No
V068,2026-07-22,Cusco,V012, Accesorios,Cargador USB-C,4,79.78,15,Plin,VIP,59,,14,Si
V069,2026-05-13,Trujillo,V009,Smartphones,Smartphone Samsung,1,1804.67,0,Plin,VIP,22,3,35,No
V070,2026-06-13,Cusco,V014,Laptops,Laptop Dell,50,3416.27,15,Yape,Frecuente,49,1,39,Si
V071,2026-06-15,Trujillo,V009,Laptops,Laptop Asus,2,3091.11,0,Plin,Nuevo,19,4,7,No
V072,2026-04-06,Trujillo,V010,Monitores,Monitor LG,1,752.34,0,Efectivo,Nuevo,42,3,44,No
V073,2026-06-03,Arequipa,V006,Smartphones,Smartphone Motorola,1,975.4,0,Plin,VIP,28,4,9,No
V074,2026-06-04,Trujillo,V011,Smartphones,Smartphone Motorola,2,975.01,5,Plin,VIP,,2,41,No
V075,2026-07-03,Trujillo,V009,Smartphones,Smartphone Xiaomi,2,1140.97,0,Transferencia,Frecuente,36,4,,No
V076,2026-06-16,Arequipa,V007,Monitores,Monitor Samsung,1,811.47,5,Plin,Nuevo,26,5,10,No
V077,2026-04-21,Arequipa,V006,Monitores,Monitor AOC,2,621.91,0,Yape,VIP,,5,23,No
V078,2026-02-03,Cusco,V012,Monitores,Monitor LG,2,777.01,15,Transferencia,Nuevo,18,4,21,No
V079,2026-06-26,TRUJILLO,V011,Smartphones,Smartphone Motorola,1,1044.03,5,Plin,Nuevo,53,5,25,No
V080,2026-01-21,Cusco,V014,Accesorios,Cargador USB-C,1,79.27,0,Yape,VIP,33,1,39,No
V081,2026-06-25,Cusco,V014,Monitores,Monitor ViewSonic,2,700.69,15,Yape,Nuevo,46,5,33,No
V082,2026-01-30,Trujillo,V011, Accesorios,Mouse Logitech,1,89.08,0,Plin,Nuevo,150,5,43,No
V083,2026-03-31,Arequipa,V006,Tablets,Tablet Samsung,2,1243.92,5,Transferencia,Nuevo,150,5,14,No
V084,2026-03-16,Arequipa,V006,Tablets,Tablet Lenovo,1,1132.84,0,Efectivo,Nuevo,33,2,42,Si
V085,2026-01-18,Arequipa,V008,Tablets,Tablet Samsung,1,1331.94,10,Transferencia,Frecuente,32,1,44,No
V086,2026-08-14,Trujillo,V010,LAPTOPS,Laptop Lenovo,2,2939.6,15,Tarjeta,Frecuente,22,4,10,No
V087,2026-02-06,Trujillo,V011,Tablets,Tablet Lenovo,1,1086.9,5,Plin,FRECUENTE,68,5,,No
V088,2026-07-20,Arequipa,V008,Smartphones,Smartphone Samsung,2,1784.49,15,Plin,Frecuente,38,4,21,No
V089,2026-08-29,Cusco,V012,Laptops,Laptop Lenovo,1,2686.1,10,Efectivo,Frecuente,53,2,40,Si
V090,2026-04-05,Cusco,V014,Laptops,Laptop Dell,1,3333.14,5,Efectivo,Frecuente,24,5,27,No
V091,2026-07-19,Trujillo,V011,Monitores,Monitor ViewSonic,3,713.82,0,Transferencia,VIP,35,3,6,No
V092,2026-03-25,Trujillo,V010,Laptops,Laptop HP,1,3214.66,15,Tarjeta,Nuevo,19,5,10,No
V093,2026-04-22,Cusco,V013,Monitores,Monitor AOC,1,608.32,0,Tarjeta,nuevo,21,3,10,No
V094,2026-05-09,Cusco,V013,Accesorios,Teclado Redragon,1,184.59,15,Tarjeta,Nuevo,49,3,38,No
V095,2026-04-16,Lima,V001,Monitores,Monitor AOC,2,647.61,5,Yape,Nuevo,,1,32,No
V096,2026-07-04,Arequipa,V007,Laptops,Laptop Asus,1,3056.72,0,PLIN,VIP,54,3,32,No
V097,2026-04-21,Trujillo,V009,Smartphones,Smartphone Samsung,1,1883.92,20,Yape,Nuevo,33,3,32,No
V098,2026-04-16,Trujillo,V011,Accesorios,Teclado Redragon,1,177.0,0,Transferencia,Frecuente,40,5,27,No
V099,2026-08-01,Arequipa,V006,Laptops,Laptop HP,1,3024.35,0,Tarjeta,Nuevo,49,3,34,No
V100,2026-04-29,Trujillo,V011,Accesorios,Teclado Redragon,2,178.92,5,Yape,Frecuente,22,4,24,Si
V101,2026-04-09,Trujillo,V009,Laptops,Laptop Acer,1,2624.46,0,Plin,VIP,30,4,25,No
V102,2026-01-20,Cusco,V012,Accesorios,Cargador USB-C,2,76.67,0,Efectivo,Frecuente,51,3,38,No
V103,2026-08-27,Trujillo,V010,Smartphones,Smartphone Xiaomi,1,1221.47,10,Tarjeta,Nuevo,42,3,23,No
V104,2026-08-25,Arequipa,V007,Laptops,Laptop Acer,2,2642.54,5,Plin,Nuevo,23,,24,No
V105,2026-03-30,Arequipa,V005,SMARTPHONES,Smartphone Motorola,1,986.18,0,Efectivo,Nuevo,30,5,19,No
V106,2026-03-21,Lima,V001,Accesorios,Mochila para laptop,2,121.42,0,Efectivo,Nuevo,57,5,15,No
V107,2026-04-08,Arequipa,V008,Tablets,Tablet Lenovo,2,1127.76,5,Transferencia,Nuevo,68,4,,No
V108,2026-06-27,cusco,V013,Accesorios,Mochila para laptop,50,118.58,0,Efectivo,Frecuente,34,4,8,No
V109,2026-05-26,Lima,V001,Accesorios,Mouse Logitech,1,92.37,0,Plin,NUEVO,70,4,33,No
V110,2026-04-21,Lima,V004,Tablets,Tablet Lenovo,3,1070.94,10,Efectivo,Nuevo,63,5,26,No
V111,2026-03-19,CUSCO,V014,Monitores,Monitor ViewSonic,1,686.45,0,Tarjeta,Nuevo,53,2,43,Si
V112,2026-03-19,Arequipa,V007,Laptops,Laptop Lenovo,1,2726.76,20,Tarjeta,Nuevo,56,1,39,No
V113,2026-03-07,Arequipa,V007,Smartphones,Smartphone Samsung,1,1820.67,15,Efectivo, Frecuente,41,5,9,No
V114,2026-07-25,LIMA,V004,Smartphones,Smartphone Samsung,3,1824.42,5,Tarjeta,Nuevo,,1,45,No
V115,2026-07-17,Trujillo,V009,Laptops,Laptop Dell,2,3315.18,0,Plin,VIP,29,2,13,No
V116,2026-05-02,Lima,V003,Monitores,Monitor Samsung,2,802.71,10,Yape,Frecuente,52,2,35,No
V117,2026-02-22,TRUJILLO,V010,LAPTOPS,Laptop Dell,2,3225.16,15,Plin,Frecuente,42,5,26,No
V118,2026-05-12,Trujillo,V011,Accesorios,Mochila para laptop,2,114.99,15,Transferencia,VIP,36,3,25,No
V119,2026-03-21,Trujillo,V010,Tablets,Tablet Lenovo,1,1063.33,20,TARJETA,Frecuente,57,2,32,No
V120,2026-01-19,Lima,V004,Accesorios,Parlante JBL,3,257.53,0,Efectivo,Frecuente,46,3,7,No
V121,2026-06-19,Trujillo,V010,Smartphones,Smartphone Motorola,1,953.24,20,Yape,Nuevo,54,4,13,No
V122,2026-06-20,Trujillo,V009,Laptops,Laptop Lenovo,1,2865.99,15,Transferencia,Nuevo,63,1,33,No
V123,2026-07-01,Cusco,V012,Laptops,Laptop HP,1,3209.38,20,Tarjeta,Frecuente,38,5,27,No
V124,2026-03-20,TRUJILLO,V009,Monitores,Monitor AOC,1,620.54,5,Efectivo,Nuevo,41,3,40,No
V125,2026-05-26,Arequipa,V005,Laptops,Laptop Dell,2,3266.39,20,Transferencia,Frecuente,54,3,9,No
V126,2026-01-23,Cusco,V013,Tablets,Tablet Lenovo,2,1059.12,0,Efectivo,Frecuente,21,4,12,No
V127,2026-02-15,Trujillo,V011,Monitores,Monitor AOC,1,647.74,5,tarjeta,Nuevo,53,3,22,No
V128,2026-05-21,Lima,V002,Tablets,Tablet Samsung,1,1257.26,10,Transferencia,Nuevo,23,5,7,No
V129,2026-03-13,Arequipa,V008,Tablets,Tablet Samsung,1,1299.74,5,YAPE,Frecuente,,3,30,No
V130,2026-01-20,Arequipa,V008,Smartphones,Smartphone Xiaomi,1,1195.73,0,Yape,Vip,40,3,180,No
V131,2026-05-28,Lima,V003,Monitores,Monitor ViewSonic,1,663.95,0,Tarjeta,Nuevo,57,1,31,No
V132,2026-02-14,Trujillo,V011,Accesorios,Teclado Redragon,2,184.74,20,Plin,VIP,23,4,30,No
V133,2026-03-01,Trujillo,V009,LAPTOPS,Laptop Dell,2,3298.32,20,Yape,Frecuente,,5,13,No
V134,2026-07-19,Cusco,V013,Laptops,Laptop Asus,1,2817.59,10,Transferencia,Nuevo,,2,40,No
V135,2026-06-28,Lima,V002,Laptops,Laptop Asus,50,2912.59,10,Efectivo,Nuevo,50,2,7,Si
V136,2026-03-31,Cusco,V014,Smartphones,Smartphone Samsung,1,1819.13,10,TRANSFERENCIA,Nuevo,57,4,24,No
V137,2026-05-15,cusco,V014,Tablets,Tablet Lenovo,1,1097.24,10,Tarjeta,VIP,68,1,45,No
V138,2026-06-21,Arequipa,V005,Tablets,Tablet Lenovo,1,1063.76,15,Efectivo,Frecuente,150,3,12,No
V139,2026-04-22,arequipa,V008,MONITORES,Monitor ViewSonic,1,690.13,20,Tarjeta,Frecuente,53,5,25,No
V140,2026-04-11,Trujillo,V009,Smartphones,Smartphone Motorola,1,984.23,5,Transferencia,Frecuente,35,2,40,No
V141,2026-03-22,Trujillo,V011,Monitores,Monitor ViewSonic,1,677.38,5,Yape,Nuevo,42,,30,No
V142,2026-07-29,Arequipa,V007,Laptops,Laptop Dell,1,3450.25,20,Yape,Frecuente,70,2,39,No
V143,2026-03-15,Arequipa,V005,Tablets,Tablet Samsung,1,1266.52,5,Efectivo,Nuevo,63,1,35,No
V144,2026-01-06,Arequipa,V008,Smartphones,Smartphone Xiaomi,2,1218.06,5,Yape,Nuevo,67,4,10,No
V145,2026-07-13,Lima,V002,Smartphones,Smartphone Samsung,1,1878.11,15,Plin,Nuevo,36,1,7,No
V146,2026-02-01,Trujillo,V010,Smartphones,Smartphone Motorola,1,1004.33,0,Transferencia,Frecuente,25,3,26,No
V147,2026-03-11,Arequipa,V005,Accesorios,Mochila para laptop,3,117.54,5,Efectivo,Frecuente,43,2,32,Si
V148,2026-06-25,Lima,V002,Monitores,Monitor ViewSonic,1,677.83,5,Plin,Nuevo,150,4,24,No
V149,2026-03-12,Trujillo,V011,Monitores,Monitor Samsung,1,793.09,0,Plin,FRECUENTE,63,4,24,No
V150,2026-03-21,Trujillo,V011,Monitores,Monitor LG,1,784.3,20,transferencia,Nuevo,48,4,39,No
V151,2026-07-19,Arequipa,V005,Tablets,Tablet Lenovo,1,1103.1,0,tarjeta,Frecuente,,2,41,Si
V152,2026-08-11,Cusco,V012,Monitores,Monitor ViewSonic,1,661.77,0,Plin,Nuevo,54,4,180,No
V153,2026-03-24,Lima,V004,Accesorios,Mochila para laptop,1,114.04,0,Tarjeta,Frecuente,,5,8,No
V154,2026-05-05,Lima,V003,Smartphones,Smartphone Samsung,2,1848.41,70,Yape,VIP,42,2,29,No
V155,2026-08-16,Arequipa,V007,Laptops,Laptop HP,1,3252.78,0,Efectivo,Frecuente,37,3,34,No
V156,2026-05-21,Cusco,V012,Monitores,Monitor ViewSonic,1,679.39,0,Tarjeta,Frecuente,67,3,6,No
V157,2026-06-06,Lima,V004,Tablets,Tablet Samsung,1,1266.82,20,Efectivo,FRECUENTE,67,3,8,No
V158,2026-03-05,Trujillo,V011,Tablets,Tablet Lenovo,2,1071.06,5,Plin,Nuevo,55,4,16,No
V159,2026-05-11,Lima,V003,Smartphones,Smartphone Motorola,1,981.87,70,Yape,Nuevo,48,5,20,No
V160,2026-07-05,Arequipa,V008,Laptops,Laptop Acer,1,2577.3,0,Plin,Nuevo,59,5,180,No
V161,2026-01-28,Arequipa,V005,Accesorios,Webcam Logitech,2,223.82,0,Efectivo,Frecuente,60,1,40,Si
V162,2026-08-25,Trujillo,V010,Laptops,Laptop HP,3,3235.52,0,Plin,VIP,63,4,18,No
V163,2026-03-28,trujillo,V010,Smartphones,Smartphone Motorola,1,1014.87,70,Transferencia,VIP,69,3,35,No
V164,2026-02-26,Trujillo,V010,Smartphones,Smartphone Samsung,1,1811.25,0,Tarjeta,Nuevo,55,2,31,Si
V165,2026-03-04,Cusco,V014,Monitores,Monitor ViewSonic,2,693.49,10,Yape,Frecuente,64,2,36,No
V166,2026-04-05,Arequipa,V006,Tablets,Tablet Lenovo,2,1065.25,0,Transferencia,Nuevo,70,5,8,No
V167,2026-08-08,Arequipa,V005,Monitores,Monitor Samsung,1,758.06,0,Transferencia,Frecuente,48,1,36,No
V168,2026-04-20, Lima,V001,Tablets,Tablet Lenovo,1,1103.93,70,Efectivo,Nuevo,27,3,20,No
V169,2026-08-01,Trujillo,V010,smartphones,Smartphone Samsung,1,1777.15,5,Efectivo,NUEVO,23,2,7,No
V170,2026-05-26,Cusco,V012,Laptops,Laptop HP,2,2970.63,10,Transferencia,VIP,51,3,7,No
V171,2026-07-01,CUSCO,V013,Laptops,Laptop Lenovo,1,2851.64,0,Efectivo,VIP,31,,42,No
V172,2026-08-03,CUSCO,V012,Accesorios,Teclado Redragon,2,181.15,15,Transferencia,Nuevo,26,4,10,No
V173,2026-01-18,Lima,V004,Monitores,Monitor Samsung,2,767.57,15,Yape,Nuevo,46,1,36,No
V174,2026-04-11,Cusco,V012,Tablets,Tablet Lenovo,50,1054.43,5,TARJETA,Nuevo,63,1,45,No
V175,2026-04-07,Lima,V001,Laptops,Laptop Dell,2,3281.76,0,Efectivo,Nuevo,,2,40,Si
V176,2026-01-27,trujillo,V011,Laptops,Laptop Acer,1,2625.49,15,tarjeta,Nuevo,23,4,40,No
V177,2026-05-31,Arequipa,V008,Monitores,Monitor LG,1,732.67,0,Tarjeta,Nuevo,37,3,,No
V178,2026-03-09,Cusco,V014,Tablets,Tablet Samsung,1,1294.52,0,Plin,Nuevo,69,4,26,No
V179,2026-08-03,AREQUIPA,V007,Accesorios,Parlante JBL,1,261.18,10,Efectivo,VIP,36,2,45,No
V180,2026-03-08,Trujillo,V010,ACCESORIOS,Mochila para laptop,2,123.43,5,Transferencia,VIP,67,1,40,No
V181,2026-07-05,Arequipa,V008,Accesorios,Mochila para laptop,3,122.31,15,Plin,Nuevo,34,5,14,No
V182,2026-01-23,Cusco,V014,Smartphones,Smartphone Motorola,1,990.08,15,Transferencia,Nuevo,62,3,180,No
V183,2026-02-01,Arequipa,V007,Monitores,Monitor Samsung,1,784.93,15,Yape,VIP,18,3,11,No
V184,2026-05-17,Arequipa,V008,Accesorios,Webcam Logitech,3,219.19,0,Yape,VIP,36,4,31,No
V185,2026-08-05,Arequipa,V007,Accesorios,Audifonos JBL,1,149.33,20,yape,Frecuente,62,2,33,No
V186,2026-07-31,Lima,V001,Accesorios,Cargador USB-C,3,76.87,5,TRANSFERENCIA,Nuevo,,5,32,No
V187,2026-04-18,Arequipa,V006,Smartphones,Smartphone Xiaomi,1,1143.5,5,Plin,Frecuente,63,3,18,No
V188,2026-07-31,Lima,V001,Tablets,Tablet Samsung,1,1282.55,0,Yape,Frecuente,58,,25,No
V189,2026-06-04,LIMA,V003,Accesorios,Mochila para laptop,1,119.49,5,Transferencia,Frecuente,38,3,12,No
V190,2026-04-10,Arequipa,V008,Smartphones,Smartphone Motorola,1,963.79,0,Plin,Frecuente,59,4,16,No
V191,2026-02-09,Arequipa,V007,Smartphones,Smartphone Motorola,1,955.36,0,Plin,Nuevo,53,3,37,No
V192,2026-05-10,Cusco,V014,Smartphones,Smartphone Xiaomi,1,1160.07,5,Yape,Nuevo,36,5,15,No
V193,2026-07-21,Cusco,V014,Tablets,Tablet Samsung,1,1309.45,10,Transferencia,Frecuente,,2,33,No
V194,2026-01-31,Arequipa,V007,Laptops,Laptop Asus,2,2880.03,70,Plin,VIP,69,3,,No
V195,2026-06-30,Trujillo,V011,Tablets,Tablet Lenovo,1,1063.26,5,Efectivo,Frecuente,52,4,22,No
V196,2026-07-04,Trujillo,V010,Tablets,Tablet Lenovo,1,1149.76,0,Efectivo,VIP,21,5,22,No
V197,2026-08-14,Arequipa,V006,Monitores,Monitor AOC,2,640.37,15,Plin,Nuevo,58,2,31,Si
V198,2026-07-27,Lima,V004,Tablets,Tablet Lenovo,2,1121.42,20,Plin,Nuevo,,5,10,No
V199,2026-06-24,Trujillo,V009,tablets,Tablet Lenovo,1,1068.96,5,Plin,Nuevo,39,3,40,No
V200,2026-05-09,Trujillo,V011,laptops,Laptop Lenovo,2,2687.88,20,Tarjeta,Nuevo,,1,34,No
V201,2026-02-25,Arequipa,V007,Monitores,Monitor AOC,1,594.79,0,Yape,Frecuente,21,4,30,No
V202,2026-07-17,Arequipa,V008,Laptops,Laptop Lenovo,1,2660.3,0,Transferencia,Nuevo,18,4,5,No
V203,2026-08-13,Cusco,V014,Monitores,Monitor ViewSonic,1,660.39,0,Tarjeta,Nuevo,26,5,29,No
V204,2026-02-08,Arequipa,V005,Tablets,Tablet Samsung,1,1314.34,10,Efectivo,Frecuente,44,3,44,No
V205,2026-01-27,Lima,V002,Laptops,Laptop Acer,1,2659.8,15,Yape,Frecuente,59,3,10,No
V206,2026-07-08,Trujillo,V011,Laptops,Laptop Dell,1,3202.8,5,Plin,Nuevo,68,4,20,No
V207,2026-05-12, Lima,V001,Accesorios,Audifonos JBL,4,144.48,15,yape, Frecuente,48,1,9,Si
V208,2026-03-13,Arequipa,V005,Laptops,Laptop Asus,1,2951.95,15,Plin,Frecuente,52,3,39,No
V209,2026-03-25,Lima,V002,Monitores,Monitor AOC,1,613.23,0,Yape,Frecuente,,3,8,No
V210,2026-02-03,Cusco,V014,Tablets,Tablet Samsung,2,1275.21,0,Tarjeta,nuevo,18,4,15,No
V211,2026-05-17,Trujillo,V009,Accesorios,Teclado Redragon,4,184.5,0,Tarjeta,NUEVO,51,3,9,No
V212,2026-06-14, Lima,V004,Smartphones,Smartphone Motorola,1,986.01,0,Yape,Nuevo,54,3,12,No
V213,2026-01-16,lima,V002,Laptops,Laptop Asus,2,2909.87,0,Tarjeta,FRECUENTE,65,1,31,Si
V214,2026-08-27,Trujillo,V010,Laptops,Laptop Acer,1,2566.93,0,Efectivo,Nuevo,20,2,30,No
V215,2026-03-18,Trujillo,V010,laptops,Laptop Acer,1,2588.75,5,TRANSFERENCIA,Frecuente,33,2,,No
V216,2026-07-21,Arequipa,V006,MONITORES,Monitor Samsung,1,813.73,10,Tarjeta,VIP,,5,29,No
V217,2026-01-31,Arequipa,V006,Smartphones,Smartphone Xiaomi,3,1255.34,0,Yape,Nuevo,51,3,31,No
V218,2026-07-15,LIMA,V001,Tablets,Tablet Samsung,1,1317.84,0,Plin,Frecuente,36,5,21,No
V219,2026-04-15,Trujillo,V010,Smartphones,Smartphone Xiaomi,2,1168.03,0,transferencia,Nuevo,46,2,34,Si
V220,2026-04-06,Arequipa,V008,Accesorios,Webcam Logitech,1,214.83,0,Yape,Frecuente,20,5,18,No
V221,2026-01-28,Arequipa,V007,Smartphones,Smartphone Motorola,1,954.9,0,Tarjeta,VIP,,1,40,No
V222,2026-07-29,Arequipa,V005,Laptops,Laptop Lenovo,3,2892.5,0,Efectivo,Frecuente,,4,10,No
V223,2026-08-01,lima,V001,Laptops,Laptop HP,1,3224.77,0,Tarjeta,VIP,39,2,12,No
V224,2026-02-17,Cusco,V014,Smartphones,Smartphone Xiaomi,50,1143.54,0,Yape,Nuevo,35,4,33,Si
V225,2026-06-12,Arequipa,V007,Smartphones,Smartphone Xiaomi,1,1245.93,0,Yape,NUEVO,59,1,38,No
V226,2026-05-24,Lima,V004,Accesorios,Webcam Logitech,2,220.98,10,Plin,Nuevo,,1,43,No
V227,2026-07-23,Trujillo,V009,Smartphones,Smartphone Motorola,1,985.74,5,Efectivo,Nuevo,35,4,39,No
V228,2026-01-19,Arequipa,V008,Accesorios,Mochila para laptop,1,125.9,5,Transferencia,Nuevo,40,1,42,No
