id_cliente,nombre,ciudad,edad,segmento,fecha_registro
C0132,Milagros García,CUSCO,58.0,REGULAR,2023-11-20
C0133,Marco Rojas,LIMA,66.0,NUEVO,2023-06-01
C0134,Estefanía Vásquez,AREQUIPA,56.0,REGULAR,2024-08-01
C0135,Fiorella Espinoza,AREQUIPA,51.0,REGULAR,2023-11-07
C0136,Diego Castillo,LIMA,70.0,NUEVO,2023-06-30
C0137,Juan Medina,TRUJILLO,22.0,REGULAR,2023-09-09
C0138,Hugo Vargas, chiclayo,79.0,VIP,2024-10-09
C0139,Luis Castro,AREQUIPA,23.0,NUEVO,2023-10-09
C0140,Diego Vargas,CUSCO,58.0,regular,2023-07-27
C0141,Patricia Chávez,LIMA,52.0,VIP,2023-09-07
C0142,Valeria Castro,,69.0,VIP,2024-08-15
C0143,Óscar Díaz,CUSCO,55.0,VIP,2023-04-12
C0144,Ximena Rodríguez, piura,88.0,REGULAR,2023-12-03
C0145,Giancarlo Núñez,PIURA,70.0,VIP,2024-04-24
C0146,Camila Rodríguez, chiclayo,71.0,VIP,2024-06-02
C0147,Juan Rodríguez,CHICLAYO,65.0,NUEVO,2023-11-12
C0148,Carmen Rodríguez,TRUJILLO,47.0,REGULAR,2023-06-06
C0149,Camila Quispe,CHICLAYO,25.0,NUEVO,2023-11-10
C0150,Walter Medina,LIMA,88.0,nuevo,2024-10-19
C0151,Sergio Núñez,CUSCO,27.0,VIP,2024-08-17
C0152,Pedro Díaz,TRUJILLO,61.0,REGULAR,2023-08-28
C0153,Ximena Gutiérrez,PIURA,38.0,REGULAR,2024-05-24
C0154,Lucía Rojas,TRUJILLO,37.0,NUEVO,2024-10-06
C0155,Daniela Vargas,LIMA,27.0,REGULAR,2024-05-16
C0156,Giancarlo Vásquez,,82.0,REGULAR,2024-10-04
C0157,Valeria Ramos,CHICLAYO,69.0,REGULAR,2023-03-21
C0158,Adriana Flores,,85.0,REGULAR,2023-01-23
C0159,Giancarlo Chávez,CHICLAYO,71.0,VIP,2023-07-25
C0160,Carlos Medina,CUSCO,46.0,NUEVO,2023-04-07
C0161,Rosa Quispe,PIURA,80.0,REGULAR,2023-10-07
C0162,Pedro Chávez,AREQUIPA,73.0,NUEVO,2024-03-19
C0163,Pedro García,CUSCO,77.0,regular,2024-02-21
C0164,Rosa Díaz,LIMA,44.0,VIP,2024-11-15
C0165,Valeria Vásquez,CUSCO,44.0,NUEVO,2023-07-29
C0166,Fiorella Torres,LIMA,69.0,REGULAR,2023-08-18
C0167,Ximena Aguilar,CHICLAYO,50.0,REGULAR,2024-03-29
C0168,Rosa Rojas,,41.0,REGULAR,2023-12-21
C0169,Jorge Castillo,AREQUIPA,63.0,NUEVO,2024-07-06
C0170,Ana Vásquez,CHICLAYO,65.0,NUEVO,2024-03-07
C0171,Ana Flores,CHICLAYO,55.0,VIP,2023-04-12
C0172,Adriana Vásquez,CHICLAYO,,REGULAR,2023-11-15
C0173,Gabriela Rodríguez,TRUJILLO,32.0,REGULAR,2024-09-15
C0174,Renzo García,TRUJILLO,46.0,VIP,2024-12-06
C0175,Mónica Paredes,CUSCO,57.0,NUEVO,2023-10-11
C0176,Rocío Chávez,PIURA,33.0,REGULAR,2023-10-25
C0177,Ximena Quispe,TRUJILLO,78.0,NUEVO,2023-04-03
C0178,Lucía Díaz,CUSCO,80.0,REGULAR,2023-03-15
C0179,Miguel Paredes,CUSCO,41.0,REGULAR,2023-06-22
C0180,Ricardo Chávez,CHICLAYO,59.0,REGULAR,2024-05-07
C0181,Fernando Quispe,LIMA,84.0,REGULAR,2023-04-04
C0182,Gabriela Castillo, arequipa,64.0,REGULAR,2024-03-18
C0183,Miguel Rojas,TRUJILLO,77.0,REGULAR,2024-07-07
C0184,Hugo Castro,CUSCO,24.0,REGULAR,2024-12-02
C0185,Adriana Chávez,CHICLAYO,24.0,REGULAR,2023-03-30
C0186,Alejandra Castro,PIURA,61.0,REGULAR,2024-04-11
C0187,César Núñez,LIMA,107.0,REGULAR,2024-12-18
C0188,Gabriela Vásquez,CHICLAYO,70.0,NUEVO,2024-02-18
C0189,Alberto Torres,TRUJILLO,29.0,VIP,2023-09-19
C0190,Alejandra Castillo,TRUJILLO,61.0,NUEVO,2023-08-24
C0191,María Espinoza,TRUJILLO,85.0,VIP,2023-09-25
C0192,Jorge Vargas,PIURA,69.0,regular,2023-10-16
C0193,Daniela Gutiérrez, lima,36.0,nuevo,2024-11-26
C0194,Diego Medina,CHICLAYO,31.0,VIP,2024-06-10
C0195,Marco Ramos,TRUJILLO,79.0,REGULAR,2023-05-06
C0196,Juan Paredes,AREQUIPA,38.0,REGULAR,2024-04-17
C0197,Alberto Ramos,CHICLAYO,85.0,NUEVO,2024-02-20
C0198,Walter Flores,CHICLAYO,36.0,REGULAR,2023-10-24
C0199,Fernando Núñez,LIMA,101.0,REGULAR,2023-06-17
C0200,Juan Chávez,LIMA,28.0,VIP,2024-01-02
C0201,Óscar Chávez,CUSCO,52.0,REGULAR,2023-05-19
C0202,Jorge Chávez,TRUJILLO,55.0,REGULAR,2024-08-19
C0203,Alberto Paredes,LIMA,35.0,REGULAR,2023-02-21
C0204,Carmen Ramos,CUSCO,52.0,REGULAR,2024-06-05
C0205,Walter Chávez,,52.0,NUEVO,2024-09-12
C0206,Andrés Castillo,PIURA,36.0,regular,2024-10-23
C0207,Karla García,,82.0,NUEVO,2023-08-26
C0208,Marco Gutiérrez,TRUJILLO,111.0,NUEVO,2024-04-02
C0209,Hugo Quispe,TRUJILLO,,regular,2024-05-05
C0210,Jorge Gutiérrez,LIMA,71.0,REGULAR,2024-09-18
C0211,Renzo Núñez,CUSCO,22.0,REGULAR,2024-08-27
C0212,Juan Flores,AREQUIPA,18.0,VIP,2024-05-31
C0213,Lucía Vargas,PIURA,20.0,VIP,2024-03-30
C0214,Estefanía García,TRUJILLO,79.0,NUEVO,2024-05-13
C0215,Mónica Aguilar,AREQUIPA,85.0,VIP,2024-12-02
C0216,Carlos Ramos,LIMA,46.0,VIP,2024-07-01
C0217,Ximena Flores,AREQUIPA,40.0,NUEVO,2024-09-16
C0218,Estefanía Medina,TRUJILLO,31.0,REGULAR,2024-04-12
C0219,Alejandra Medina,CUSCO,19.0,VIP,2024-11-02
C0220,Karla Díaz,CHICLAYO,56.0,NUEVO,2024-07-19
C0221,Estefanía Chávez,PIURA,40.0,REGULAR,2023-06-24
C0222,Fernando Gutiérrez,TRUJILLO,43.0,REGULAR,2024-08-29
C0223,Luis Ramos, cusco,47.0,REGULAR,2023-08-25
C0224,Óscar Núñez,CHICLAYO,45.0,NUEVO,2024-07-26
C0225,Mónica Quispe,CUSCO,75.0,REGULAR,2023-11-05
C0226,Fernando Chávez,TRUJILLO,,NUEVO,2024-07-28
C0227,María Díaz,TRUJILLO,47.0,regular,2024-04-01
C0228,Juan Gutiérrez,CHICLAYO,33.0,NUEVO,2023-12-13
C0229,Adriana Ramos, arequipa,28.0,VIP,2023-01-07
C0230,Renzo Ramos,CHICLAYO,25.0,REGULAR,2023-08-10
C0231,Fernando Rodríguez,AREQUIPA,51.0,REGULAR,2024-03-06
C0232,María Rojas,TRUJILLO,52.0,REGULAR,2024-02-14
C0233,Ana Vargas,TRUJILLO,59.0,REGULAR,2024-05-17
C0234,Renzo Medina,TRUJILLO,60.0,REGULAR,2023-09-23
C0235,Sofía Aguilar,TRUJILLO,82.0,REGULAR,2024-06-04
C0236,Mónica Castro,TRUJILLO,37.0,NUEVO,2024-05-14
C0237,Juan Salazar, lima,75.0,REGULAR,2024-03-06
C0238,Ana García,LIMA,58.0,REGULAR,2023-08-12
C0239,Alejandra García, piura,28.0,REGULAR,2024-09-03
C0240,María Quispe,CUSCO,69.0,REGULAR,2023-04-24
C0241,César Vargas,AREQUIPA,39.0,vip,2023-01-08
C0242,Giancarlo Salazar,PIURA,54.0,REGULAR,2023-11-05
C0243,Sofía Torres,PIURA,18.0,REGULAR,2024-09-17
C0244,César Torres,CHICLAYO,37.0,vip,2024-07-24
C0245,Diego Quispe,,24.0,REGULAR,2024-03-19
C0246,Carmen Castillo,CHICLAYO,38.0,REGULAR,2024-09-21
C0247,Estefanía Ramos,PIURA,84.0,REGULAR,2023-09-12
C0248,Sergio Castillo,CUSCO,49.0,nuevo,2023-08-27
C0249,Óscar Espinoza,AREQUIPA,59.0,REGULAR,2023-01-17
C0250,Jorge García,TRUJILLO,63.0,REGULAR,2023-12-17
C0251,Pedro Flores,PIURA,79.0,NUEVO,2023-04-10
C0252,César Chávez,TRUJILLO,72.0,REGULAR,2023-06-29
C0253,Carlos Chávez,CHICLAYO,29.0,NUEVO,2023-08-09
C0254,Carlos Castro,AREQUIPA,77.0,NUEVO,2024-12-25
C0255,Estefanía Rojas, cusco,40.0,vip,2024-03-02
C0256,Karla Ramos,TRUJILLO,81.0,REGULAR,2024-09-23
C0257,Estefanía Díaz,CHICLAYO,28.0,REGULAR,2024-05-23
C0258,Fernando Díaz,LIMA,76.0,vip,2024-01-16
C0259,Giancarlo Paredes,TRUJILLO,23.0,NUEVO,2024-07-15
C0260,Gabriela Quispe,PIURA,51.0,nuevo,2023-06-07
C0261,Hugo Medina,TRUJILLO,46.0,regular,2024-12-28
C0262,Óscar Castillo,,18.0,REGULAR,2023-04-24
C0263,Ricardo Medina,LIMA,81.0,REGULAR,2023-06-04
C0264,Adriana García,AREQUIPA,24.0,VIP,2024-12-27
C0265,Adriana Aguilar,CHICLAYO,,VIP,2023-02-03
C0266,Fernando Medina,CUSCO,18.0,NUEVO,2024-11-10
C0267,Patricia Vásquez,PIURA,67.0,REGULAR,2023-12-06
C0268,Carmen Medina,TRUJILLO,37.0,REGULAR,2023-03-21
C0269,Fiorella Quispe,TRUJILLO,111.0,REGULAR,2024-08-13
C0270,Sergio Espinoza,PIURA,85.0,REGULAR,2024-05-11
C0271,Cliente 6637,AREQUIPA,48.0,VIP,2023-04-04
C0272,Cliente 6823,AREQUIPA,,VIP,2023-06-05
C0273,Cliente 3986,CHICLAYO,68.0,NUEVO,2024-08-07
C0274,Cliente 1957,AREQUIPA,41.0,REGULAR,2024-12-26
C0275,Cliente 9952,PIURA,62.0,VIP,2024-01-24
C0276,Cliente 6589,PIURA,43.0,REGULAR,2023-02-06
C0277,Cliente 9440,PIURA,55.0,REGULAR,2024-04-08
C0278,Cliente 8948,AREQUIPA,55.0,REGULAR,2023-06-22
C0279,Cliente 1396,CHICLAYO,37.0,REGULAR,2023-05-06
C0280,Cliente 2108,AREQUIPA,47.0,REGULAR,2023-10-02
C0281,Cliente 2606,CUSCO,88.0,REGULAR,2023-06-30
C0282,Cliente 7071,LIMA,86.0,REGULAR,2023-06-19
C0283,Cliente 5605,CHICLAYO,87.0,REGULAR,2023-06-12
C0284,Cliente 4561,LIMA,80.0,VIP,2024-06-25
C0285,Cliente 2881,CHICLAYO,55.0,REGULAR,2023-06-19
C0286,Cliente 6276,CHICLAYO,42.0,NUEVO,2023-05-26
C0287,Cliente 3571,PIURA,83.0,VIP,2024-03-23
C0288,Cliente 2619,TRUJILLO,88.0,REGULAR,2023-11-25
C0289,Cliente 5119,,88.0,NUEVO,2024-11-04
C0290,Cliente 4893,TRUJILLO,28.0,REGULAR,2023-12-04
C0291,Cliente 6579,CUSCO,88.0,NUEVO,2024-11-04
C0292,Cliente 9878,CHICLAYO,27.0,NUEVO,2023-02-19
C0293,Cliente 6084,LIMA,25.0,VIP,2023-03-14
C0294,Cliente 5156, piura,80.0,NUEVO,2024-02-19
C0295,Cliente 4511,PIURA,86.0,REGULAR,2024-06-03
C0296,Cliente 4237,TRUJILLO,77.0,REGULAR,2023-09-10
C0297,Cliente 1359,AREQUIPA,79.0,REGULAR,2023-12-25
C0298,Cliente 9717,CUSCO,35.0,NUEVO,2024-12-13
C0299,Cliente 6301,CHICLAYO,63.0,REGULAR,2023-02-20
C0300,Cliente 2161, piura,76.0,NUEVO,2023-03-07
C0301,Cliente 5404,CHICLAYO,53.0,VIP,2024-08-01
C0302,Cliente 9694,TRUJILLO,56.0,VIP,2023-04-23
C0303,Cliente 3794,CUSCO,36.0,REGULAR,2024-06-07
C0304,Cliente 9346,LIMA,78.0,REGULAR,2023-06-02
C0305,Cliente 8965,PIURA,84.0,VIP,2023-06-30
C0306,Cliente 8140,TRUJILLO,71.0,REGULAR,2023-04-22
C0307,Cliente 2598,AREQUIPA,20.0,vip,2023-09-30
C0308,Cliente 4891, trujillo,25.0,regular,2023-09-15
C0309,Cliente 5639,AREQUIPA,79.0,NUEVO,2023-09-09
C0310,Cliente 2156,TRUJILLO,72.0,VIP,2024-05-12
C0311,Cliente 3648,LIMA,25.0,regular,2024-11-11
C0312,Cliente 6923,AREQUIPA,69.0,NUEVO,2024-06-10
C0313,Cliente 1730,TRUJILLO,54.0,VIP,2024-04-13
C0314,Cliente 1684,PIURA,52.0,REGULAR,2023-01-30
C0315,Cliente 9936,CUSCO,36.0,REGULAR,2023-01-20
C0316,Cliente 6122,,55.0,REGULAR,2024-06-06
C0317,Cliente 3191,CHICLAYO,72.0,REGULAR,2023-12-18
C0318,Cliente 7660, arequipa,62.0,vip,2023-09-08
C0319,Cliente 6282, piura,57.0,VIP,2023-10-22
C0320,Cliente 1078,AREQUIPA,28.0,NUEVO,2023-07-10
